BottleID,JarID,unit_number,id_2,id_3,treatment,Manufacturer,BottleTime,BottleDate,Day00_pHiinsitu,Day03_pHinsitu,delta_pH,HydroIons_Day03,HydroIons_Day00,delta_Hydro_Ions,percent_Change.to.Overall,H_percentChg
CH09_01,J2E,9,ColtPlastics_insert,J2E,MidCO2,CP,1339,8/27/21,7.81002387,7.746478126,0.063545744,17.92758846,15.48731494,2.440273514,15.75659515,15.75659515
CH09_01,JB1,9,CWP_rubberSilicone,JB1,MidCO2,CWP,1333,8/27/21,7.81002387,7.760946331,0.049077539,17.3401827,15.48731494,1.85286776,11.96377659,11.96377659
CH09_01,JB1,9,CWP_rubberSilicone,JB1,MidCO2,CWP,1333,8/27/21,7.81002387,7.722992305,0.087031565,18.92377148,15.48731494,3.436456541,22.18884651,22.18884651
CH09_01,J2E,9,ColtPlastics_insert,J2E,MidCO2,CP,1339,8/27/21,7.81002387,7.740518481,0.069505389,18.17529711,15.48731494,2.687982171,17.35602447,17.35602447
CH09_01,JC1,9,CWP_no_insert,JC1,MidCO2,CWP,1336,8/27/21,7.81002387,7.728401594,0.081622276,18.68953112,15.48731494,3.202216179,20.67638058,20.67638058
CH09_01,JC1,9,CWP_no_insert,JC1,MidCO2,CWP,1336,8/27/21,7.81002387,7.738615259,0.071408611,18.25512205,15.48731494,2.767807113,17.87144591,17.87144591
CH09_02,J2A,9,ColtPlastics_insert,J2A,MidCO2,CP,1506,8/27/21,7.815939,7.723061192,0.092877808,18.92077007,15.27780632,3.642963749,23.84480909,23.84480909
CH09_02,J2A,9,ColtPlastics_insert,J2A,MidCO2,CP,1506,8/27/21,7.815939,7.732953743,0.082985257,18.49465596,15.27780632,3.216849646,21.05570381,21.05570381
CH09_02,J3B,9,PP_rubberSilicone,J3B,MidCO2,PP,1502,8/27/21,7.815939,7.734919519,0.081019481,18.41113155,15.27780632,3.133325228,20.50899955,20.50899955
CH09_02,J3A,9,PP_rubberSilicone,J3A,MidCO2,PP,1500,8/27/21,7.815939,7.725391729,0.090547271,18.81950824,15.27780632,3.541701924,23.18200565,23.18200565
CH09_02,J3A,9,PP_rubberSilicone,J3A,MidCO2,PP,1500,8/27/21,7.815939,7.694466991,0.121472009,20.20845023,15.27780632,4.930643909,32.2732453,32.2732453
CH09_02,J3B,9,PP_rubberSilicone,J3B,MidCO2,PP,1502,8/27/21,7.815939,7.73293514,0.08300386,18.4954482,15.27780632,3.217641882,21.06088934,21.06088934
CH09_02,J3C,9,PP_rubberSilicone,J3C,MidCO2,PP,1503,8/27/21,7.815939,7.699865656,0.116073344,19.95879622,15.27780632,4.680989902,30.63914939,30.63914939
CH09_02,J3C,9,PP_rubberSilicone,J3C,MidCO2,PP,1503,8/27/21,7.815939,7.72617931,0.08975969,18.78541051,15.27780632,3.507604194,22.95882093,22.95882093
CH09_03,J2B,9,ColtPlastics_insert,J2B,MidCO2,CP,1543,8/27/21,7.80660337,7.724325471,0.082277899,18.86576972,15.60977453,3.255995192,20.85869457,20.85869457
CH09_03,J2C,9,ColtPlastics_insert,J2C,MidCO2,CP,1545,8/27/21,7.80660337,7.711062177,0.095541193,19.45081589,15.60977453,3.841041359,24.60664215,24.60664215
CH09_03,J3D,9,PP_rubberSilicone,J3D,MidCO2,PP,1546,8/27/21,7.80660337,7.694050688,0.112552682,20.22783079,15.60977453,4.618056263,29.58438801,29.58438801
CH09_03,J2B,9,ColtPlastics_insert,J2B,MidCO2,CP,1543,8/27/21,7.80660337,7.736448851,0.070154519,18.34641229,15.60977453,2.736637765,17.53156498,17.53156498
CH09_03,J2C,9,ColtPlastics_insert,J2C,MidCO2,CP,1545,8/27/21,7.80660337,7.720796266,0.085807104,19.01970313,15.60977453,3.409928606,21.84482934,21.84482934
CH09_03,J3D,9,PP_rubberSilicone,J3D,MidCO2,PP,1546,8/27/21,7.80660337,7.710682055,0.095921315,19.46784792,15.60977453,3.858073396,24.71575351,24.71575351
CH09_04,J2D,9,ColtPlastics_insert,J2D,MidCO2,CP,1651,8/27/21,7.82606788,7.763212546,0.062855334,17.24993465,14.92561105,2.324323597,15.57271987,15.57271987
CH09_04,J3E,9,PP_no_insert,J3E,MidCO2,PP,1654,8/27/21,7.82606788,7.734893431,0.091174449,18.41223753,14.92561105,3.486626484,23.36002508,23.36002508
CH09_04,J3E,9,PP_no_insert,J3E,MidCO2,PP,1654,8/27/21,7.82606788,7.751054176,0.075013704,17.73968174,14.92561105,2.814070689,18.85397308,18.85397308
CH09_04,J3F,9,PP_no_insert,J3F,MidCO2,PP,1648,8/27/21,7.82606788,7.767380217,0.058687663,17.08518883,14.92561105,2.159577778,14.46894047,14.46894047
