SEQ,BottleID,JarID,unit_number,container_type,id_2,date,salinity,unit_ID,alk,Day03_pHinsitu,dateString,dic,Manufacturer,BottleTime,BottleDate,Treatment,Day00_pHinsitu,SourceSalinity,BubbleEndSalinity,Bottle_pHinsitu,delta_pH
2,CH09_01,JC1,9,Jar,CWP_no_insert,8/30/21,29.99,Chamber_9,2032.35255,7.728401594,8/30/21,1985.886587,CWP,1336,8/27/21,MidCO2,7.810023872,29.99,31.37,7.810023872,0.081622278
2,CH09_01,JC1,9,Jar,CWP_no_insert,8/30/21,29.99,Chamber_9,2032.35255,7.738615259,8/30/21,1983.145373,CWP,1336,8/27/21,MidCO2,7.810023872,29.99,31.37,7.810023872,0.071408613
3,CH10_01,JA1,10,Jar,CWP_rubberSilicone,8/30/21,31.06,Chamber_10,2086.2217,7.408854051,8/30/21,2122.990478,CWP,1343,8/27/21,HiCO2,7.806603371,29.99,31.06,7.46975845,0.39774932
3,CH10_01,JA1,10,Jar,CWP_rubberSilicone,8/30/21,31.06,Chamber_10,2086.2217,7.43639023,8/30/21,2115.155385,CWP,1343,8/27/21,HiCO2,7.806603371,29.99,31.06,7.46975845,0.370213141
4,CH10_01,JD1,10,Jar,CWP_no_insert,8/30/21,31.06,Chamber_10,2086.2217,7.441727018,8/30/21,2113.65499,CWP,1345,8/27/21,HiCO2,7.806603371,29.99,31.06,7.46975845,0.364876353
4,CH10_01,JD1,10,Jar,CWP_no_insert,8/30/21,31.06,Chamber_10,2086.2217,7.427372156,8/30/21,2117.703565,CWP,1345,8/27/21,HiCO2,7.806603371,29.99,31.06,7.46975845,0.379231215
5,CH09_02,J2A,9,Jar,ColtPlastics_insert,8/30/21,29.2,Chamber_9,1992.58,7.723061192,8/30/21,1950.243111,CP,1506,8/27/21,MidCO2,7.815938996,29.2,30.25,7.815938996,0.092877804
5,CH09_02,J2A,9,Jar,ColtPlastics_insert,8/30/21,29.2,Chamber_9,1992.58,7.732953743,8/30/21,1947.669278,CP,1506,8/27/21,MidCO2,7.815938996,29.2,30.25,7.815938996,0.082985253
6,CH09_03,J2B,9,Jar,ColtPlastics_insert,8/30/21,29.05,Chamber_9,1985.02825,7.724325471,8/30/21,1942.872098,CP,1543,8/27/21,MidCO2,7.46975845,28.9,29.54,7.806603371,-0.254567021
6,CH09_03,J2B,9,Jar,ColtPlastics_insert,8/30/21,29.05,Chamber_9,1985.02825,7.736448851,8/30/21,1939.730907,CP,1543,8/27/21,MidCO2,7.46975845,28.9,29.54,7.806603371,-0.266690401
