"BottleID","JarID","unit","unit_number","id_1","id_2","id_3","date","salinity","unit_ID","Day03_pHinsitu","treatment","SEQ","Manufacturer","CHMBR","BottleTime","BottleDate","insert","Manufacturer_1","SourceSalinity","BubbleEndSalinity","Treatment.y","Day00_pHiinsitu","delta_pH","HydroIons_Day03","HydroIons_Day00","delta_HydroIons"
"CH09_01","J2E","Chamber",9,"Jar","ColtPlastics_insert","J2E",2021-08-30,29.99,"Chamber_9",7.746478126,"MidCO2",9,"CP","CH09",1339,"8/27/21","COLT","ColtPlastics_insert",29.99,31.37,"MidCO2",7.81002387,0.0635457439999998,17.9275884552161,15.4873149409911,2.44027351422503
"CH09_01","JB1","Chamber",9,"Jar","CWP_rubberSilicone","JB1",2021-08-30,31.37,"Chamber_9",7.760946331,"MidCO2",1,"CWP","CH09",1333,"8/27/21","rubberSi","CWP_rubberSilicone",29.99,31.37,"MidCO2",7.81002387,0.0490775389999998,17.3401827005186,15.4873149409911,1.85286775952751
"CH09_01","JB1","Chamber",9,"Jar","CWP_rubberSilicone","JB1",2021-08-30,31.37,"Chamber_9",7.722992305,"MidCO2",1,"CWP","CH09",1333,"8/27/21","rubberSi","CWP_rubberSilicone",29.99,31.37,"MidCO2",7.81002387,0.0870315650000002,18.923771482286,15.4873149409911,3.43645654129493
"CH09_01","J2E","Chamber",9,"Jar","ColtPlastics_insert","J2E",2021-08-30,29.99,"Chamber_9",7.740518481,"MidCO2",9,"CP","CH09",1339,"8/27/21","COLT","ColtPlastics_insert",29.99,31.37,"MidCO2",7.81002387,0.0695053890000006,18.1752971115401,15.4873149409911,2.68798217054899
"CH09_01","JC1","Chamber",9,"Jar","CWP_no_insert","JC1",2021-08-30,29.99,"Chamber_9",7.728401594,"MidCO2",2,"CWP","CH09",1336,"8/27/21","no_insert","CWP_no_insert",29.99,31.37,"MidCO2",7.81002387,0.081622276,18.6895311198172,15.4873149409911,3.20221617882613
"CH09_01","JC1","Chamber",9,"Jar","CWP_no_insert","JC1",2021-08-30,29.99,"Chamber_9",7.738615259,"MidCO2",2,"CWP","CH09",1336,"8/27/21","no_insert","CWP_no_insert",29.99,31.37,"MidCO2",7.81002387,0.0714086109999998,18.2551220542353,15.4873149409911,2.76780711324423
"CH09_02","J2A","Chamber",9,"Jar","ColtPlastics_insert","J2A",2021-08-30,29.2,"Chamber_9",7.723061192,"MidCO2",5,"CP","CH09",1506,"8/27/21","COLT","ColtPlastics_insert",29.2,30.25,"MidCO2",7.815939,0.0928778079999999,18.9207700661539,15.2778063170786,3.6429637490753
"CH09_02","J2A","Chamber",9,"Jar","ColtPlastics_insert","J2A",2021-08-30,29.2,"Chamber_9",7.732953743,"MidCO2",5,"CP","CH09",1506,"8/27/21","COLT","ColtPlastics_insert",29.2,30.25,"MidCO2",7.815939,0.0829852569999998,18.4946559632359,15.2778063170786,3.21684964615737
"CH09_02","J3B","Chamber",9,"Jar","PP_rubberSilicone","J3B",2021-08-30,30.25,"Chamber_9",7.734919519,"MidCO2",16,"PP","CH09",1502,"8/27/21","rubberSi","PP_rubberSilicone",29.2,30.25,"MidCO2",7.815939,0.0810194810000002,18.4111315454681,15.2778063170786,3.13332522838955
"CH09_02","J3A","Chamber",9,"Jar","PP_rubberSilicone","J3A",2021-08-30,30.25,"Chamber_9",7.725391729,"MidCO2",15,"PP","CH09",1500,"8/27/21","rubberSi","PP_rubberSilicone",29.2,30.25,"MidCO2",7.815939,0.0905472710000002,18.8195082408464,15.2778063170786,3.54170192376785
