BottleID,SourceSalinity,BubbleEndSalinity,Treatment,Day00_pHiinsitu,,,,,,,,
CH09_01,29.99,31.37,MidCO2,7.81002387,,,,,,,,
CH10_01,29.99,31.06,HiCO2,7.46975845,,,,,,,,
CH09_02,29.2,30.25,MidCO2,7.815939,,,,,,,,
CH10_02,29.2,30.25,HiCO2,7.48870895,,,,,,,,
CH09_03,28.9,29.54,MidCO2,7.80660337,,,,,,,,
CH10_03,28.9,29.45,HiCO2,7.51600879,,,,,,,,
CH09_03a,28.9,29.05,MidCO2,7.80780358,,,,,,,,
CH10_03a,28.9,29.23,HiCO2,7.53954142,,,,,,,,
CH09_04,30.01,29.74,MidCO2,7.82606788,,,,,,,,
CH10_04,30.01,29.98,HiCO2,7.58645432,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
