Unit,UnitNumber,StartDate,EndDate,TreatmentName,Tempereture,pH,AdditionalTreatmentA
Tank,1,8/1/18,8/1/22,High pH,ambient,7.8,NA
Tank,2,8/1/18,8/1/22,Low pH,ambient,7.2,NA
Tank,3,8/1/18,8/1/22,High pH,ambient,7.8,NA
Tank,4,8/1/18,8/1/22,Low pH,ambient,7.2,NA
Tank,5,8/1/18,8/1/22,High pH,ambient,7.8,NA
Tank,6,8/1/18,8/1/22,Low pH,ambient,7.2,NA
Chamber,1,2/1/19,8/1/22,Low_pH_High_T,15,7.2,NA
Chamber,3,2/1/19,8/1/22,Low_pH_High_T,15,7.2,NA
Chamber,4,2/1/19,8/1/22,High_pH_High_T,15,8,NA
Chamber,5,2/1/19,8/1/22,Low_pH_High_T,15,7.2,NA
Chamber,6,2/1/19,8/1/22,High_pH_High_T,15,8,NA
Chamber,7,2/1/19,8/1/22,High_pH_Low_T,10,8,NA
Chamber,8,2/1/19,8/1/22,Low_pH_Low_T,10,7.2,NA
Chamber,9,2/1/19,8/1/22,High_pH_Low_T,10,8,NA
Chamber,10,2/1/19,8/1/22,Low_pH_Low_T,10,7.2,NA
